URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term1479.htm;analyse harmonique;AnalyseHarmonique;Non;;;;;;;
http://isi.cbs.nl/glossary/term2543.htm;analyse harmonique;AnalyseHarmonique;Non;;;;;;;
http://isi.cbs.nl/glossary/term1836.htm;analyse latente de classe;AnalyseLatenteDeClasse;Non;;;;;;;
http://isi.cbs.nl/glossary/term1836.htm;analyse latente de trait;AnalyseLatenteDeTrait;Non;;;;;;;
http://isi.cbs.nl/glossary/term1929.htm;analyse linkage;AnalyseLinkage;Non;;;;;;;
http://isi.cbs.nl/glossary/term3534.htm;analyse modale de Wishart;AnalyseModaleDeWishart;Non;;;;;;;
http://isi.cbs.nl/glossary/term1176.htm;échangeabilité;Echangeabilite;Propriete;;;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Echangeabilite.pdf
http://isi.cbs.nl/glossary/term2590.htm;analyse par la méthode des probits;AnalyseParLaMethodeDesProbits;Non;;;;;;;
http://isi.cbs.nl/glossary/term2970.htm;analyse progressive;AnalyseProgressive;Non;;;;;;;
http://isi.cbs.nl/glossary/term2856.htm;analyse ridit;AnalyseRidit;Non;;;;;;;
http://isi.cbs.nl/glossary/term2970.htm;analyse séquentielle;AnalyseSequentielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term1177.htm;échangeable;Echangeable;Propriete;;;;;;Echangeabilite;
http://isi.cbs.nl/glossary/term3406.htm;année de base;AnneeDeBase;Non;;;;;;;
http://isi.cbs.nl/glossary/term2466.htm;année-personne;AnneePersonne;Non;;;;;;;
http://isi.cbs.nl/glossary/term127.htm;anomique;Anomique;Non;;;;;;;
http://isi.cbs.nl/glossary/term726.htm;antérieur conjugué;AnterieurConjugue;Non;;;;;;;
http://isi.cbs.nl/glossary/term2249.htm;antérieur conjugué normal;AnterieurConjugueNormal;Non;;;;;;;
http://isi.cbs.nl/glossary/term1585.htm;antérieur inexact;AnterieurInexact;Non;;;;;;;
http://isi.cbs.nl/glossary/term1651.htm;antérieur instructif;AnterieurInstructif;Non;;;;;;;
http://isi.cbs.nl/glossary/term133.htm;antimode (peu employé);AntimodePeuEmploye;Non;;;;;;;
http://isi.cbs.nl/glossary/term135.htm;antithétique transforme;AntithetiqueTransforme;Non;;;;;;;
